,Title,Date,Desc,Content,keywords
0,Coronavirus: Argentina's confirmed cases surpass one million,2020-10-20T02:07:03Z,The South American nation becomes the fifth country in the world to reach the grim milestone.,"image captionThe outbreak has intensified in the past few months in Argentina - especially in the Buenos Aires province
Argentina has become the fifth country in the world to record one million conf… [+877 chars]","['#Argentina', '#image', '#captionThe', '#outbreak', '#intensified']"
1,"Why False Positives Matter, Too",2020-10-25T09:00:15Z,False negatives are not the only troublesome outcome of a faulty coronavirus test.,"The ever-increasing availability of virtual platforms might make that transition easy for some, Dr. Mazer said. But for people whose work can only be done in person, or who lack a financial buffer, t… [+2237 chars]","['#Argentina', '#chars', '#image', '#captionThe', '#outbreak']"
3,Coronavirus: Europe’s tough restrictions ‘absolutely necessary’,2020-10-15T15:06:57Z,The World Health Organization's warning comes as major European cities go into red alert.,"image captionMeasures against coronavirus are being ramped up in cities across Europe
Tough restrictions are ""absolutely necessary"" to save lives, the World Health Organization (WHO) has warned as E… [+4463 chars]","['#chars', '#image', '#Argentina', '#captionThe', '#outbreak']"
5,Coronavirus: Clashes in Naples over tightening restrictions,2020-10-24T07:55:09Z,"Hundreds protested in the southern Italian city, some throwing firecrackers and smoke bombs.","image captionSmoke bombs and firecrackers were thrown
Protesters in Naples opposed to stricter coronavirus measures clashed with police late into the night. 
Some threw smoke bombs and firecrackers… [+2245 chars]","['#chars', '#image', '#Argentina', '#coronavirus', '#bombs']"
7,"Coronavirus Has Killed Nearly 10,000 Minks in Utah",2020-10-12T16:10:00Z,"Humans aren’t the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked to the viral pandemic—outbreaks that likely began from con…","Humans arent the only creatures at risk from dying of covid-19, it seems. In recent weeks, the state of Utah has been dealing with mass die-offs at mink farms that health officials believe are linked… [+2192 chars]","['#chars', '#image', '#Argentina', '#coronavirus', '#bombs']"
8,"With Russia's Coronavirus Vaccine, Putin Jumps Ahead of Trump",2020-10-13T09:00:08Z,"As America retreats from world affairs, Russia is promising other nations help on the pandemic.","The United States, for example, has secured advance purchase commitments for over 800 million doses of at least six candidate vaccines, all for itself. Compounding an image of selfishness, the Trump … [+2182 chars]","['#chars', '#image', '#Argentina', '#coronavirus', '#bombs']"
9,Dating During the Coronavirus Pandemic Means Fear. Again.,2020-10-18T14:28:33Z,I never imagined I’d live to witness another viral threat.,"Others have made different adaptations, seeking companionship over intimacy. Braden Toan, another friend in his 60s, changed his dating profile in May to declare sex off limits. That being said, his … [+2079 chars]","['#chars', '#image', '#Argentina', '#said', '#coronavirus']"
10,"Coronavirus, Supreme Court, Ikea: Your Wednesday Evening Briefing",2020-10-14T22:05:07Z,Here’s what you need to know at the end of the day.,"10. And finally, what does Los Angeles smell like?
Inspired by the science writer Harold McGees new book about the worlds odors and aromas, Nose Dive, our California restaurant critic used her olfac… [+603 chars]","['#chars', '#image', '#Argentina', '#said', '#coronavirus']"
11,President Andrzej Duda of Poland Tests Positive for Coronavirus,2020-10-24T11:37:44Z,A spokesman said the head of state was feeling well despite a positive test result. A second political leader is also in isolation after he came in contact with an infected person.,"Mr. Duda visited the stadium on Friday and met with site managers, an encounter that has now raised concerns that the construction will have to be halted. He also met Iga Swiatek, who this month beca… [+1368 chars]","['#chars', '#image', '#Argentina', '#said', '#coronavirus']"
12,N.F.L. Punishes Titans for Their Handling of Coronavirus Outbreak,2020-10-25T13:50:51Z,"A heavy fine, but no suspensions, come after two dozen players and staff members tested positive for the virus.","Still, the fine, the largest for a violation of the protocols, came as the league tries to keep its season on track amid a spike in infections that has spread to at least four teams. The decision to … [+2104 chars]","['#chars', '#image', '#Argentina', '#said', '#coronavirus']"
